TYPE,YEAR,MONTH,Monthly_Crime_Count_Type_wise,is_summer,is_holiday_season,is_spring,quarter,month_sin,month_cos,month_sq,summer_peak,holiday_peak
Break and Enter Commercial,1999,1,303,0,0,1,1,0.0,1.0,1,0,0
Break and Enter Commercial,1999,2,254,0,0,1,1,0.49999999999999994,0.8660254037844387,4,0,0
Break and Enter Commercial,1999,3,292,0,0,1,1,0.8660254037844386,0.5000000000000001,9,0,0
Break and Enter Commercial,1999,4,266,0,0,1,2,1.0,6.123233995736766e-17,16,0,0
Break and Enter Commercial,1999,5,291,1,0,0,2,0.8660254037844387,-0.4999999999999998,25,5,0
Break and Enter Commercial,1999,6,306,1,0,0,2,0.49999999999999994,-0.8660254037844387,36,6,0
Break and Enter Commercial,1999,7,252,1,0,0,3,1.2246467991473532e-16,-1.0,49,7,0
Break and Enter Commercial,1999,8,241,1,0,0,3,-0.4999999999999997,-0.8660254037844388,64,8,0
Break and Enter Commercial,1999,9,209,0,1,0,3,-0.8660254037844384,-0.5000000000000004,81,0,9
Break and Enter Commercial,1999,10,306,0,1,0,4,-1.0,-1.8369701987210297e-16,100,0,10
Break and Enter Commercial,1999,11,263,0,1,0,4,-0.8660254037844386,0.5000000000000001,121,0,11
Break and Enter Commercial,1999,12,214,0,1,0,4,-0.5000000000000004,0.8660254037844384,144,0,12
Break and Enter Commercial,2000,1,216,0,0,1,1,0.0,1.0,1,0,0
Break and Enter Commercial,2000,2,256,0,0,1,1,0.49999999999999994,0.8660254037844387,4,0,0
Break and Enter Commercial,2000,3,275,0,0,1,1,0.8660254037844386,0.5000000000000001,9,0,0
Break and Enter Commercial,2000,4,289,0,0,1,2,1.0,6.123233995736766e-17,16,0,0
Break and Enter Commercial,2000,5,254,1,0,0,2,0.8660254037844387,-0.4999999999999998,25,5,0
Break and Enter Commercial,2000,6,258,1,0,0,2,0.49999999999999994,-0.8660254037844387,36,6,0
Break and Enter Commercial,2000,7,237,1,0,0,3,1.2246467991473532e-16,-1.0,49,7,0
Break and Enter Commercial,2000,8,266,1,0,0,3,-0.4999999999999997,-0.8660254037844388,64,8,0
Break and Enter Commercial,2000,9,378,0,1,0,3,-0.8660254037844384,-0.5000000000000004,81,0,9
Break and Enter Commercial,2000,10,318,0,1,0,4,-1.0,-1.8369701987210297e-16,100,0,10
Break and Enter Commercial,2000,11,271,0,1,0,4,-0.8660254037844386,0.5000000000000001,121,0,11
Break and Enter Commercial,2000,12,265,0,1,0,4,-0.5000000000000004,0.8660254037844384,144,0,12
Break and Enter Commercial,2001,1,193,0,0,1,1,0.0,1.0,1,0,0
Break and Enter Commercial,2001,2,211,0,0,1,1,0.49999999999999994,0.8660254037844387,4,0,0
Break and Enter Commercial,2001,3,204,0,0,1,1,0.8660254037844386,0.5000000000000001,9,0,0
Break and Enter Commercial,2001,4,154,0,0,1,2,1.0,6.123233995736766e-17,16,0,0
Break and Enter Commercial,2001,5,201,1,0,0,2,0.8660254037844387,-0.4999999999999998,25,5,0
Break and Enter Commercial,2001,6,227,1,0,0,2,0.49999999999999994,-0.8660254037844387,36,6,0
Break and Enter Commercial,2001,7,249,1,0,0,3,1.2246467991473532e-16,-1.0,49,7,0
Break and Enter Commercial,2001,8,221,1,0,0,3,-0.4999999999999997,-0.8660254037844388,64,8,0
