TYPE,YEAR,MONTH,Month_name,Crime_Count
Break and Enter Commercial,1999,1,Jan,303.0
Break and Enter Commercial,1999,2,Feb,254.0
Break and Enter Commercial,1999,3,Mar,292.0
Break and Enter Commercial,1999,4,Apr,266.0
Break and Enter Commercial,1999,5,May,291.0
Break and Enter Commercial,1999,6,Jun,306.0
Break and Enter Commercial,1999,7,Jul,252.0
Break and Enter Commercial,1999,8,Aug,241.0
Break and Enter Commercial,1999,9,Sep,209.0
Break and Enter Commercial,1999,10,Oct,306.0
Break and Enter Commercial,1999,11,Nov,263.0
Break and Enter Commercial,1999,12,Dec,214.0
Break and Enter Commercial,2000,1,Jan,216.0
Break and Enter Commercial,2000,2,Feb,256.0
Break and Enter Commercial,2000,3,Mar,275.0
Break and Enter Commercial,2000,4,Apr,289.0
Break and Enter Commercial,2000,5,May,254.0
Break and Enter Commercial,2000,6,Jun,258.0
Break and Enter Commercial,2000,7,Jul,237.0
Break and Enter Commercial,2000,8,Aug,266.0
Break and Enter Commercial,2000,9,Sep,378.0
Break and Enter Commercial,2000,10,Oct,318.0
Break and Enter Commercial,2000,11,Nov,271.0
Break and Enter Commercial,2000,12,Dec,265.0
Break and Enter Commercial,2001,1,Jan,193.0
Break and Enter Commercial,2001,2,Feb,211.0
Break and Enter Commercial,2001,3,Mar,204.0
Break and Enter Commercial,2001,4,Apr,154.0
Break and Enter Commercial,2001,5,May,201.0
Break and Enter Commercial,2001,6,Jun,227.0
Break and Enter Commercial,2001,7,Jul,249.0
Break and Enter Commercial,2001,8,Aug,221.0
Break and Enter Commercial,2001,9,Sep,219.0
Break and Enter Commercial,2001,10,Oct,249.0
Break and Enter Commercial,2001,11,Nov,276.0
Break and Enter Commercial,2001,12,Dec,235.0
Break and Enter Commercial,2002,1,Jan,277.0
Break and Enter Commercial,2002,2,Feb,209.0
Break and Enter Commercial,2002,3,Mar,241.0
Break and Enter Commercial,2002,4,Apr,241.0
Break and Enter Commercial,2002,5,May,271.0
Break and Enter Commercial,2002,6,Jun,224.0
Break and Enter Commercial,2002,7,Jul,238.0
Break and Enter Commercial,2002,8,Aug,223.0
Break and Enter Commercial,2002,9,Sep,201.0
Break and Enter Commercial,2002,10,Oct,233.0
Break and Enter Commercial,2002,11,Nov,206.0
Break and Enter Commercial,2002,12,Dec,280.0
Break and Enter Commercial,2003,1,Jan,290.0
Break and Enter Commercial,2003,2,Feb,174.0
Break and Enter Commercial,2003,3,Mar,214.0
Break and Enter Commercial,2003,4,Apr,192.0
Break and Enter Commercial,2003,5,May,187.0
Break and Enter Commercial,2003,6,Jun,210.0
Break and Enter Commercial,2003,7,Jul,206.0
Break and Enter Commercial,2003,8,Aug,246.0
Break and Enter Commercial,2003,9,Sep,216.0
Break and Enter Commercial,2003,10,Oct,172.0
Break and Enter Commercial,2003,11,Nov,178.0
Break and Enter Commercial,2003,12,Dec,151.0
Break and Enter Commercial,2004,1,Jan,201.0
Break and Enter Commercial,2004,2,Feb,192.0
Break and Enter Commercial,2004,3,Mar,243.0
Break and Enter Commercial,2004,4,Apr,186.0
Break and Enter Commercial,2004,5,May,196.0
Break and Enter Commercial,2004,6,Jun,173.0
Break and Enter Commercial,2004,7,Jul,188.0
Break and Enter Commercial,2004,8,Aug,201.0
Break and Enter Commercial,2004,9,Sep,159.0
Break and Enter Commercial,2004,10,Oct,179.0
Break and Enter Commercial,2004,11,Nov,139.0
Break and Enter Commercial,2004,12,Dec,167.0
Break and Enter Commercial,2005,1,Jan,179.0
Break and Enter Commercial,2005,2,Feb,152.0
Break and Enter Commercial,2005,3,Mar,151.0
Break and Enter Commercial,2005,4,Apr,136.0
Break and Enter Commercial,2005,5,May,185.0
Break and Enter Commercial,2005,6,Jun,154.0
Break and Enter Commercial,2005,7,Jul,142.0
Break and Enter Commercial,2005,8,Aug,157.0
Break and Enter Commercial,2005,9,Sep,152.0
Break and Enter Commercial,2005,10,Oct,167.0
Break and Enter Commercial,2005,11,Nov,155.0
Break and Enter Commercial,2005,12,Dec,128.0
Break and Enter Commercial,2006,1,Jan,126.0
Break and Enter Commercial,2006,2,Feb,109.0
Break and Enter Commercial,2006,3,Mar,159.0
Break and Enter Commercial,2006,4,Apr,143.0
Break and Enter Commercial,2006,5,May,139.0
Break and Enter Commercial,2006,6,Jun,132.0
Break and Enter Commercial,2006,7,Jul,122.0
Break and Enter Commercial,2006,8,Aug,174.0
Break and Enter Commercial,2006,9,Sep,150.0
Break and Enter Commercial,2006,10,Oct,150.0
Break and Enter Commercial,2006,11,Nov,110.0
Break and Enter Commercial,2006,12,Dec,142.0
Break and Enter Commercial,2007,1,Jan,149.0
Break and Enter Commercial,2007,2,Feb,143.0
Break and Enter Commercial,2007,3,Mar,139.0
Break and Enter Commercial,2007,4,Apr,118.0
Break and Enter Commercial,2007,5,May,124.0
Break and Enter Commercial,2007,6,Jun,303.0
Break and Enter Commercial,2007,7,Jul,146.0
Break and Enter Commercial,2007,8,Aug,150.0
Break and Enter Commercial,2007,9,Sep,139.0
Break and Enter Commercial,2007,10,Oct,122.0
Break and Enter Commercial,2007,11,Nov,92.0
Break and Enter Commercial,2007,12,Dec,124.0
Break and Enter Commercial,2008,1,Jan,156.0
Break and Enter Commercial,2008,2,Feb,118.0
Break and Enter Commercial,2008,3,Mar,165.0
Break and Enter Commercial,2008,4,Apr,155.0
Break and Enter Commercial,2008,5,May,133.0
Break and Enter Commercial,2008,6,Jun,136.0
Break and Enter Commercial,2008,7,Jul,105.0
Break and Enter Commercial,2008,8,Aug,114.0
Break and Enter Commercial,2008,9,Sep,122.0
Break and Enter Commercial,2008,10,Oct,145.0
Break and Enter Commercial,2008,11,Nov,172.0
Break and Enter Commercial,2008,12,Dec,166.0
Break and Enter Commercial,2009,1,Jan,136.0
Break and Enter Commercial,2009,2,Feb,155.0
Break and Enter Commercial,2009,3,Mar,195.0
Break and Enter Commercial,2009,4,Apr,177.0
Break and Enter Commercial,2009,5,May,116.0
Break and Enter Commercial,2009,6,Jun,153.0
Break and Enter Commercial,2009,7,Jul,134.0
Break and Enter Commercial,2009,8,Aug,122.0
Break and Enter Commercial,2009,9,Sep,117.0
Break and Enter Commercial,2009,10,Oct,137.0
Break and Enter Commercial,2009,11,Nov,152.0
Break and Enter Commercial,2009,12,Dec,180.0
Break and Enter Commercial,2010,1,Jan,185.0
Break and Enter Commercial,2010,2,Feb,163.0
Break and Enter Commercial,2010,3,Mar,184.0
Break and Enter Commercial,2010,4,Apr,199.0
Break and Enter Commercial,2010,5,May,195.0
Break and Enter Commercial,2010,6,Jun,168.0
Break and Enter Commercial,2010,7,Jul,160.0
Break and Enter Commercial,2010,8,Aug,170.0
Break and Enter Commercial,2010,9,Sep,213.0
Break and Enter Commercial,2010,10,Oct,200.0
Break and Enter Commercial,2010,11,Nov,205.0
Break and Enter Commercial,2010,12,Dec,202.0
Break and Enter Commercial,2011,1,Jan,228.0
Break and Enter Commercial,2011,2,Feb,187.0
Break and Enter Commercial,2011,3,Mar,192.0
Break and Enter Commercial,2011,4,Apr,179.0
Break and Enter Commercial,2011,5,May,188.0
Break and Enter Commercial,2011,6,Jun,212.0
Break and Enter Commercial,2011,7,Jul,215.0
Break and Enter Commercial,2011,8,Aug,200.0
Break and Enter Commercial,2011,9,Sep,189.0
Break and Enter Commercial,2011,10,Oct,234.0
Break and Enter Commercial,2011,11,Nov,206.0
Break and Enter Commercial,2011,12,Dec,227.0
