NEIGHBOURHOOD,YEAR,Crime_Count
Arbutus Ridge,1999,616.0
Arbutus Ridge,2000,648.0
Arbutus Ridge,2001,619.0
Arbutus Ridge,2002,441.0
Arbutus Ridge,2003,361.0
Arbutus Ridge,2004,335.0
Arbutus Ridge,2005,378.0
Arbutus Ridge,2006,322.0
Arbutus Ridge,2007,302.0
Arbutus Ridge,2008,338.0
Arbutus Ridge,2009,300.0
Arbutus Ridge,2010,407.0
Arbutus Ridge,2011,364.0
Arbutus Ridge,2012,357.69804710230324
Arbutus Ridge,2013,352.9771494517194
Central Business District,1999,9815.0
Central Business District,2000,8744.0
Central Business District,2001,7668.0
Central Business District,2002,8480.0
Central Business District,2003,8251.0
Central Business District,2004,8209.0
Central Business District,2005,6893.0
Central Business District,2006,5831.0
Central Business District,2007,5722.0
Central Business District,2008,5409.0
Central Business District,2009,5938.0
Central Business District,2010,7114.0
Central Business District,2011,8097.0
Central Business District,2012,8404.55260251019
Central Business District,2013,8484.359598001509
Dunbar-Southlands,1999,772.0
Dunbar-Southlands,2000,949.0
Dunbar-Southlands,2001,719.0
Dunbar-Southlands,2002,544.0
Dunbar-Southlands,2003,433.0
Dunbar-Southlands,2004,367.0
Dunbar-Southlands,2005,402.0
Dunbar-Southlands,2006,416.0
Dunbar-Southlands,2007,522.0
Dunbar-Southlands,2008,554.0
Dunbar-Southlands,2009,392.0
Dunbar-Southlands,2010,476.0
Dunbar-Southlands,2011,560.0
Dunbar-Southlands,2012,582.5261350070084
Dunbar-Southlands,2013,586.6612130691766
Fairview,1999,3475.0
Fairview,2000,3076.0
Fairview,2001,3089.0
Fairview,2002,2608.0
Fairview,2003,2369.0
Fairview,2004,2072.0
Fairview,2005,2068.0
Fairview,2006,1740.0
Fairview,2007,1477.0
Fairview,2008,1771.0
Fairview,2009,1609.0
Fairview,2010,2033.0
Fairview,2011,1990.0
Fairview,2012,1937.8027395706981
Fairview,2013,1897.4374329165096
Grandview-Woodland,1999,3139.0
Grandview-Woodland,2000,2665.0
Grandview-Woodland,2001,2269.0
Grandview-Woodland,2002,2030.0
Grandview-Woodland,2003,2060.0
Grandview-Woodland,2004,1751.0
Grandview-Woodland,2005,1481.0
Grandview-Woodland,2006,1455.0
Grandview-Woodland,2007,1322.0
Grandview-Woodland,2008,1319.0
Grandview-Woodland,2009,1598.0
Grandview-Woodland,2010,1596.0
Grandview-Woodland,2011,1648.0
Grandview-Woodland,2012,1600.5657803880745
Grandview-Woodland,2013,1567.7932806201065
Hastings-Sunrise,1999,1878.0
Hastings-Sunrise,2000,1929.0
Hastings-Sunrise,2001,1514.0
Hastings-Sunrise,2002,1503.0
Hastings-Sunrise,2003,1263.0
Hastings-Sunrise,2004,1203.0
Hastings-Sunrise,2005,1115.0
Hastings-Sunrise,2006,1005.0
Hastings-Sunrise,2007,1032.0
Hastings-Sunrise,2008,1047.0
Hastings-Sunrise,2009,850.0
Hastings-Sunrise,2010,937.0
Hastings-Sunrise,2011,1102.0
Hastings-Sunrise,2012,1076.4513396173643
Hastings-Sunrise,2013,1056.6598366181393
Kensington-Cedar Cottage,1999,2228.0
Kensington-Cedar Cottage,2000,2559.0
Kensington-Cedar Cottage,2001,2175.0
Kensington-Cedar Cottage,2002,2094.0
Kensington-Cedar Cottage,2003,1713.0
Kensington-Cedar Cottage,2004,1610.0
Kensington-Cedar Cottage,2005,1481.0
Kensington-Cedar Cottage,2006,1498.0
Kensington-Cedar Cottage,2007,1302.0
Kensington-Cedar Cottage,2008,1284.0
Kensington-Cedar Cottage,2009,1567.0
Kensington-Cedar Cottage,2010,1663.0
Kensington-Cedar Cottage,2011,1534.0
Kensington-Cedar Cottage,2012,1505.0634530447005
Kensington-Cedar Cottage,2013,1490.66172018302
Kerrisdale,1999,626.0
Kerrisdale,2000,834.0
Kerrisdale,2001,825.0
Kerrisdale,2002,655.0
Kerrisdale,2003,474.0
Kerrisdale,2004,349.0
Kerrisdale,2005,407.0
Kerrisdale,2006,379.0
Kerrisdale,2007,429.0
Kerrisdale,2008,547.0
Kerrisdale,2009,356.0
Kerrisdale,2010,407.0
Kerrisdale,2011,478.0
Kerrisdale,2012,489.9929210638748
Kerrisdale,2013,490.9627779794548
